,price,ID,address,prce,lat,lon
27158,400000,117644527,477A High Street Northcote Vic 3070 ,12.89921982609012,-37.7661877,144.9990838
23675,740000,117136735,161 Queen Street Altona Vic 3018 ,13.514405465180353,-37.8693684,144.8262451
2007,565500,112923363,71 Speight Street Newport Vic 3015 ,13.245465574538311,-37.8425422,144.8745682
13947,450000,115467067,2/325 Nepean Highway Edithvale Vic 3196 ,13.017002861746503,-38.0401135,145.1094308
13659,690000,115422343,1/15 Ricourt Avenue Murrumbeena Vic 3163 ,13.444446876573442,-37.8924515,145.0737096
28668,475000,117846299,64 South Street Hadfield Vic 3046 ,13.071070083016778,-37.7144151,144.9430291
13786,1149000,115445855,10 Lyndhurst Crescent Brunswick East Vic 3057 ,13.954402556830892,-37.7620173,144.9778469
6754,845000,114232971,21 Duff Parade Viewbank Vic 3084 ,13.64709190633931,-37.7367706,145.0836304
7803,1170000,114453791,8 Wattamolla  Ridge Donvale Vic 3111 ,13.972514306773938,-37.7940771,145.2055804
10518,740000,114957655,88 Lebanon Street Strathmore Vic 3041 ,13.514405465180353,-37.7263517,144.9143828
33696,1325000,118436927,9 Little Ingles Street Port Melbourne Vic 3207 ,14.09692301740246,-37.8348013,144.9488248
12843,1040000,115317895,55 Eley Road Blackburn South Vic 3130 ,13.854731271117556,-37.846452,145.1399893
14008,895000,115474767,3 Farley Green Court Vermont Vic 3133 ,13.704578997256993,-37.8342776,145.199499
13538,510000,115407707,5 Burns Court Heidelberg Heights Vic 3081 ,13.142166004700508,-37.7357433,145.0546502
43471,465000,119705847,11 John Lecky Road Seabrook Vic 3028 ,13.049792684569493,-37.8873002,144.7600209
28411,600000,117800623,4/7 Harpur Court Oakleigh East Vic 3166 ,13.304684934198283,-37.9017175,145.1153416
34926,655500,118609719,89 Major Road Fawkner Vic 3060 ,13.393153582185892,-37.7073176,144.9654088
14923,375000,115691283,3 Lionheart Avenue Taylors Lakes Vic 3038 ,12.834681304952548,-37.7116181,144.7889467
17807,811000,116232275,14 Lennox Street Northcote Vic 3070 ,13.60602333309755,-37.7714503,145.0031325
4936,893000,113774771,11 Uonga Road Bentleigh Vic 3204 ,13.702341859858636,-37.9290159,145.0379196
4616,825000,113693403,16 Gordon Street Beaumaris Vic 3193 ,13.623138665316818,-37.9742842,145.0526223
13302,682000,115379175,38 The Crescent Kensington Vic 3031 ,13.432784936825598,-37.7941472,144.9189011
28571,530000,117830635,603/57 Bay Street Port Melbourne Vic 3207 ,13.180632285528304,-37.840985,144.9400658
39944,700000,119322740,13 Mary Street Preston Vic 3072 ,13.458835614025542,-37.7434488,145.001586
